lineage,country_WGS,country_N,year_first_WGS,year_first_N,year_last_WGS,year_last_N,n_WGS_seqs,n_N_seqs,parent
Cosmopolitan Vac_A1.1,"c(""Austria"", ""Germany"")",NA,1993,NA,2020,NA,51,NA,Cosmopolitan Vac_A1
Vac_A1.1,character(0),NA,2007,NA,2020,NA,12,NA,Vac_A1
Vac_B1,character(0),NA,2007,NA,2015,NA,45,NA,Vac
Cosmopolitan Vac_A1,"c(""Austria"", ""Germany"", ""Hungary"")","c(""China"", ""Czechia"", ""Slovenia"")",2001,1995,2019,2013,33,17,Vac
Vac_A1.2,"c(""China"", ""Mexico"")","c(""France"", ""Nepal"")",1993,1993,2018,2019,13,3,Vac_A1
Cosmopolitan Vac_A1.1.1,character(0),NA,2007,NA,2015,NA,10,NA,Cosmopolitan Vac_A1.1
Vac_A1,"c(""China"", ""Russia"")","c(""Czechia"", ""Morocco"")",2007,1993,2020,1995,10,2,Vac
Vac_B1.1,character(0),NA,2015,NA,2015,NA,13,NA,Vac_B1
Cosmopolitan Vac_A1.2,character(0),NA,2015,NA,2015,NA,18,NA,Cosmopolitan Vac_A1
Cosmopolitan Vac2_A1,NA,Mexico,NA,2003,NA,2009,NA,5,Vac
Vac,,,,,,,0,0,