ID,year,country,assignment
3/BA-dg-RABV,2008,Nigeria,
6/BA-dg-RABV,2011,Nigeria,
9/BA-dg-RABV,2007,Nigeria,
11/BA-dg-RABV,2024,Nigeria,
33/BA-dg-RABV,2023,Nigeria,
35/BA-dg-RABV,2022,Nigeria,
37/BA-dg-RABV,2022,Nigeria,
44/BA-dg-RABV,2020,Nigeria,
45/BA-dg-RABV,2019,Nigeria,
46/BA-dg-RABV,2018,Nigeria,
47/BA-dg-RABV,2023,Nigeria,
49/BA-dg-RABV,2021,Nigeria,
57/BA-dg-RABV,2020,Nigeria,
58/BA-dg-RABV,2022,Nigeria,
4/PL-dg-RABV,2011,Nigeria,
8/PL-dg-RABV,2013,Nigeria,
12/PL-dg-RABV,2024,Nigeria,
13/PL-dg-RABV,2020,Nigeria,
14/PL-dg-RABV,2022,Nigeria,
15/PL-dg-RABV,2022,Nigeria,
16/PL-dg-RABV,2019,Nigeria,
17/PL-dg-RABV,2021,Nigeria,
22/PL-dg-RABV,2022,Nigeria,
24/PL-dg-RABV,2023,Nigeria,
27/PL-dg-RABV,2019,Nigeria,
28/PL-dg-RABV,2024,Nigeria,
29/PL-dg-RABV,2022,Nigeria,
30/PL-dg-RABV,2022,Nigeria,
31/PL-dg-RABV,2019,Nigeria,
34/PL-dg-RABV,2023,Nigeria,
36/PL-dg-RABV,2021,Nigeria,
39/PL-dg-RABV,2021,Nigeria,
42/PL-dg-RABV,2019,Nigeria,
43/PL-dg-RABV,2020,Nigeria,
53/PL-dg-RABV,2022,Nigeria,
54/PL-dg-RABV,2021,Nigeria,
59/PL-dg-RABV,2019,Nigeria,
60/PL-dg-RABV,2019,Nigeria,
40/SO-hm-RABV,2024,Nigeria,
1/TA-dg-RABV,2013,Nigeria,
2/TA-dg-RABV,2013,Nigeria,
5/TA-dg-RABV,2014,Nigeria,
7/TA-dg-RABV,2008,Nigeria,
10/TA-dg-RABV,2009,Nigeria,
18/TA-dg-RABV,2021,Nigeria,
19/TA-dg-RABV,2021,Nigeria,
20/TA-dg-RABV,2024,Nigeria,
21/TA-dg-RABV,2021,Nigeria,
23/TA-dg-RABV,2020,Nigeria,
25/TA-dg-RABV,2019,Nigeria,
26/TA-dg-RABV,2019,Nigeria,
32/TA-dg-RABV,2018,Nigeria,
38/TA-dg-RABV,2023,Nigeria,
41/TA-dg-RABV,2024,Nigeria,
48/TA-dg-RABV,2022,Nigeria,
50/TA-dg-RABV,2022,Nigeria,
51/TA-dg-RABV,2020,Nigeria,
52/TA-dg-RABV,2018,Nigeria,
55/TA-dg-RABV,2021,Nigeria,
56/TA-dg-RABV,2019,Nigeria,